Line Name,Rest Value
N II],2142.78
[O III],2320.951
C II],2323.5
C II],2324.69
[Fe XI],2648.71
He II,2733.289
[Mg V],2782.7
Mg II],2795.528
Mg II],2802.705
[Fe IV],2829.36
[Fe IV],2835.74
[Ar IV],2853.67
[Ar IV],2868.21
[Mg V],2928
He I,2945.106
O III,3132.794
He I,3187.745
He II,3203.1
O III,3312.329
[Ne V],3345.821
[Ne V],3425.881
O III,3444.052
[N I],3466.497
[N I],3466.543
He I,3487.727
[Fe VII],3586.32
[Fe VI],3662.5
H19,3686.831
H18,3691.551
H17,3697.157
H16,3703.859
H15,3711.977
H14,3721.945
[O II],3726.032
[O II],3728.815
H13,3734.369
H12,3750.158
[Fe VII],3758.92
H11,3770.637
H10,3797.904
H9,3835.391
[Fe V],3839.27
[Ne III],3868.76
He I,3888.647
H8,3889.064
[Fe V],3891.28
[Fe V],3911.33
[Ne III],3967.47
Hε,3970.079
He I,4026.19
[S II],4068.6
[Fe V],4071.24
[S II],4076.349
H e,4101.742
He I,4143.761
Fe II,4178.862
[Fe V],4180.6
Fe II,4233.172
[Fe V],4227.19
[Fe II],4287.394
Fe II,4303.176
O II,4317.139
H g,4340.471
[O III],4363.21
[Ar XIV],4412.3
O II,4414.899
Fe II,4416.83
[Fe II],4452.098
He I,4471.479
Fe II,4489.183
Fe II,4491.405
N III,4510.91
Fe II,4522.634
Fe II,4555.893
Fe II,4582.835
Fe II,4583.837
Fe II,4629.339
N III,4634.14
N III,4640.64
N III,4641.85
C III,4647.42
C III,4650.25
C III,4651.47
[Fe III],4658.05
He II,4685.71
[Ar IV],4711.26
[Ar IV],4740.12
H b,4861.333
[Fe VII],4893.37
[Fe IV],4903.07
Fe II,4923.927
[O III],4958.911
[O III],5006.843
Fe II,5018.44
[Fe III],5084.77
[Fe VI],5145.75
[Fe VII],5158.89
Fe II,5169.033
[Fe VI],5176.04
Fe II,5197.577
[N I],5200.257
Fe II,5234.625
[Fe IV],5236.06
[Fe III],5270.4
Fe II,5276.002
[Fe VII],5276.38
[Fe XIV],5302.86
[Ca V],5309.11
Fe II,5316.615
Fe II,5316.784
[Fe VI],5335.18
[Fe VI],5424.22
[Cl III],5517.709
[Cl III],5537.873
[Fe VI],5637.6
[Fe VI],5677
C III,5695.92
[Fe VII],5720.7
[N II],5754.59
C IV,5801.33
C IV,5811.98
He I,5875.624
O I,6046.44
[Fe VII],6087
[O I],6300.304
[S III],6312.06
Si II,6347.1
[O I],6363.776
Fe II,6369.462
[Fe X],6374.51
Fe II,6516.081
[N II],6548.05
H a,6562.819
[N II],6583.46
[S II],6716.44
[S II],6730.81
O I,7002.23
[Ar V],7005.87
He I,7065.196
[Ar III],7135.79
[Fe II],7155.157
[Ar IV],7170.62
[Fe II],7172
C II,7236.42
[Ar IV],7237.26
O I,7254.448
[Ar IV],7262.76
He I,7281.349
[O II],7319.99
[O II],7330.73
[Ni II],7377.83
[Ni II],7411.16
[Fe II],7452.538
N I,7468.31
[S XII],7611
[Ar III],7751.06
He I,7816.136
Ar I,7868.194
[Ni III],7889.9
[Fe XI],7891.8
He II,8236.79
Pa20,8392.397
Pa19,8413.318
Pa18,8437.956
O I,8446.359
Pa17,8467.254
Ca II,8498.02
Pa16,8502.483
Ca II,8542.09
Pa15,8545.383
[Cl II],8578.7
Pa14,8598.392
[Fe II],8616.95
Ca II,8662.14
Pa13,8665.019
N I,8680.282
N I,8703.247
N I,8711.703
Pa12,8750.472
Pa11,8862.782
[Fe II],8891.91
Pa10,9014.909
[S III],9068.6
Pa9,9229.014
[S III],9531.1
Pa ae,9545.969
[C I],9824.13
[C I],9850.26
[S VIII],9913
He I,10027.73
He I,10031.16
Pa d,10049.368
[S II],10286.73
[S II],10320.49
[S II],10336.41
[Fe XIII],10746.8
He I,10830.34
Pa g,10938.086
