Line Name,Rest Value
[Ne V],3426
OIII,3444
[O II],3727
[O II],3729
O III,3760
H10,3797
H9,3835
[Ne III],3868
H8,3889
He II,3923
He,3970
He I,4026
[S II],4068
N III,4097
Hd,4101.748
He I,4143
[K V],4163
He II,4199
[Fe V],4227
C II,4267
Hg,4340.475
[O III],4363
He I,4471
He II,4541
[Fe [III+ III]],4607
N III,4640
He II,4686
He I + [Ar IV],4712
[Ar IV],4740
Hb,4861.342
[O III],4959
[O III],5007
He II,5411
[CI III],5517
[CI III],5537
[N II],5755
He I,5876
[K IV],6101
[O I],6300
[S III],6319
[Mn V],6393
[He II],6406
[Ar V],6435
[N II],6548
Ha,6563
[N II],6584
He I,6678
[S II],6719
[S II],6730
He I,7065
Ar III,7136
