Line Name,Rest Value,Error,Reference
HI 11-3,0.8865217,1.9E-0,1
HI 10-3,0.9017385,1.9E-0,1
HI 9-3,0.9231547,2.0E-0,1
HI 8-3,0.9548590,2.1E-0,1
HI 7-3,1.0052128,2.3E-0,1
HI 6-3,1.0941090,2.6E-0,1
HI 5-3,1.282159,3.3E-0,1
HI 11-4,1.6811111,2.2E-0,1
HI 10-4,1.7366850,2.3E-0,1
HI 9-4,1.8179084,2.5E-0,1
HI 4-3,1.875613,5.9E-0,1
HI 8-4,1.9450871,2.8E-0,1
HI 7-4,2.166120,3.2E-0,1
HI 6-4,2.625867,4.3E-0,1
HI 11-5,2.8729959,2.6E-0,1
HI 10-5,3.0392022,2.8E-0,1
HI 9-5,3.296992,3.2E-0,1
HI 8-5,3.740556,3.8E-0,1
HI 5-4,4.052262,8.0E-0,1
HI 7-5,4.653778,5.2E-0,1
HI 11-6,4.672509,3.2E-0,1
HI 10-6,5.128657,3.6E-0,1
HI 9-6,5.908213,4.4E-0,1
HI 6-5,7.459858,1.0E-0,1
HI 8-6,7.502493,6.1E-0,1
HI 11-7,7.508105,4.0E-0,1
HI 10-7,8.760064,4.9E-0,1
HI 9-7,11.308695,7.0E-0,1
HI 7-6,12.371898,1.2E-0,1
HI 11-8,12.387168,5.5E-0,1
HI 10-8,16.209104,7.9E-0,1
HI 8-7,19.061898,1.5E-0,1
HI 11-9,22.340457,8.8E-0,1
HI 9-8,27.803379,1.7E-0,1
HeI 3S-3,0.97053,7.0E-0,1
HeI 3D-3,1.03140,7.1E-0,1
HeI 3P-3,1.08321,3.3E-0,1
HeI 3F-3,1.091599,1.0E-0,1
HeI 3D-3,1.19723,1.0E-0,1
HeI 3P-3,1.25308,1.0E-0,1
HeI 3F-3,1.27884,1.0E-0,1
HeI 3D-3,1.70070,1.0E-0,1
HeI 1P-1,2.05869046,3.5E-0,1
HeI 3S-3,2.1126,1.0E-0,1
HeI 11-5,0.7179501,2.6E-0,1
HeI 10-5,0.7594844,2.9E-0,1
HeI 9-5,0.823905,3.2E-0,1
HeI 19-6,0.9111036,2.2E-0,1
HeI 18-6,0.9227763,2.3E-0,1
HeI 8-5,0.934750,3.8E-0,1
HeI 17-6,0.9369604,2.3E-0,1
HeI 16-6,0.9544676,2.4E-0,1
HeI 15-6,0.9764828,2.5E-0,1
HeI 14-6,1.0048008,2.6E-0,1
HeI 5-4,1.012639,8.1E-0,1
HeI 13-6,1.0422669,2.7E-0,1
HeI 12-6,1.0936607,2.9E-0,1
HeI 7-5,1.162960,5.2E-0,1
HeI 11-6,1.167644,3.2E-0,1
HeI 10-6,1.281634,3.6E-0,1
HeI 19-7,1.2917870,2.4E-0,1
HeI 18-7,1.3153781,2.5E-0,1
HeI 17-7,1.3443888,2.5E-0,1
HeI 16-7,1.3807273,2.6E-0,1
HeI 15-7,1.4272765,2.8E-0,1
HeI 9-6,1.476442,4.4E-0,1
HeI 14-7,1.4885966,2.9E-0,1
HeI 13-7,1.572330,3.2E-0,1
HeI 16-6,1.692299,3.5E-0,1
HeI 19-8,1.7724480,2.6E-0,1
HeI 18-8,1.8171652,2.7E-0,1
HeI 6-5,1.864187,1.0E-0,1
HeI 17-8,1.8730012,2.8E-0,1
HeI 8-6,1.874847,6.1E-0,1
HeI 11-7,1.876252,4.0E-0,1
HeI 16-8,1.944292,3.0E-0,1
HeI 15-8,2.037884,3.1E-0,1
HeI 14-8,2.165234,3.4E-0,1
HeI 10-7,2.189113,5.0E-0,1
HeI 13-8,2.347038,3.8E-0,1
HeI 19-9,2.3794543,2.8E-0,1
HeI 18-9,2.460747,3.0E-0,1
HeI 17-9,2.564264,3.1E-0,1
HeI 12-8,2.624794,4.4E-0,1
HeI 16-9,2.699791,3.4E-0,1
HeI 9-7,2.826008,7.0E-0,1
HeI 15-9,2.883688,3.7E-0,1
HeI 7-6,3.091693,1.2E-0,1
HeI 11-8,3.095518,5.5E-0,1
HeI 14-9,3.145477,4.1E-0,1
HeI 19-1,3.151448,3.1E-0,1
HeI 18-1,3.295645,3.3E-0,1
HeI 17-1,3.484011,3.6E-0,1
HeI 13-9,3.544315,4.8E-0,1
HeI 16-1,3.739029,3.9E-0,1
HeI 10-8,4.050609,7.9E-0,1
HeI 15-1,4.101248,4.4E-0,1
HeI 19-1,4.146914,3.5E-0,1
HeI 12-9,4.218424,6.1E-0,1
HeI 18-1,4.400258,3.8E-0,1
HeI 14-1,4.651879,5.2E-0,1
HeI 17-1,4.742613,4.2E-0,1
HeI 8-7,4.763508,1.5E-0,1
HeI 16-1,5.227997,4.7E-0,1
HeI 19-1,5.458256,4.0E-0,1
HeI 13-1,5.580604,6.6E-0,1
HeI 11-9,5.582821,8.8E-0,1
HeI 18-1,5.905803,4.4E-0,1
HeI 15-1,5.964559,5.6E-0,1
HeI 17-1,6.539376,5.0E-0,1
HeI 9-8,6.947984,1.7E-0,1
HeI 19-1,7.204835,7.2E-0,1
HeI 19-1,7.239970,4.6E-0,1
HeI 12-1,7.456816,9.8E-0,1
HeI 16-1,7.499433,6.0E-0,1
HeI 18-1,8.049041,5.3E-0,1
HeI 15-1,9.113895,7.7E-0,1
HeI 17-1,9.273581,6.4E-0,1
HeI 13-1,9.706769,1.1E-0,1
HeI 10-9,9.713475,1.9E-0,1
HeI 19-1,9.770653,5.6E-0,1
HeI 18-1,11.304084,6.8E-0,1
HeI 16-1,11.330566,8.3E-0,1
HeI 14-1,12.366855,1.2E-0,1
