Line Name,Rest Value
  H2  0- 0 S( 0),   28.21883
  H2 10- 9 O(13),   26.08200
  H2  6- 5 O(17),   25.52151
  H2  7- 6 O(16),   24.59710
  H2  9- 8 O(14),   24.08191
  H2  8- 7 O(15),   23.90557
  H2 11-10 O(11),   22.42215
  H2  5- 4 O(17),   20.74786
  H2 12-12 S( 8),   20.42270
  H2 12-12 S( 7),   20.05775
  H2 10- 9 O(12),   19.98130
  H2  6- 5 O(16),   19.80825
  H2  7- 6 O(15),   19.08432
  H2  9- 8 O(13),   18.83303
  H2  8- 7 O(14),   18.66975
  H2  4- 3 O(17),   18.10926
  H2  1- 1 S( 1),   17.93257
  H2  0- 0 S( 1),   17.03484
  H2  5- 4 O(16),   16.72464
  H2 10- 9 O(11),   16.08950
  H2  3- 2 O(17),   16.02820
  H2  6- 5 O(15),   15.97421
  H2  7- 6 O(14),   15.43849
  H2  9- 8 O(12),   15.32788
  H2  4- 4 S( 2),   15.26970
  H2  8- 7 O(13),   15.17973
  H2  9- 9 S( 4),   14.81900
  H2  4- 3 O(16),   14.80127
  H2  7- 7 S( 3),   14.75801
  H2 10-10 S( 5),   14.61957
  H2 11-11 S( 7),   14.60623
  H2  3- 3 S( 2),   14.40590
  H2  2- 1 O(17),   14.35944
  H2 11-11 S( 8),   13.94101
  H2  5- 4 O(15),   13.82794
  H2  6- 6 S( 3),   13.69782
  H2 11-11 S(10),   13.69379
  H2 11-11 S( 9),   13.63339
  H2  2- 2 S( 2),   13.63240
  H2  8- 8 S( 4),   13.39973
  H2  6- 5 O(14),   13.25215
  H2  3- 2 O(16),   13.21774
  H2 10-10 S( 6),   13.13138
  H2  1- 0 O(17),   13.00182
  H2  1- 1 S( 2),   12.92756
  H2  9- 9 S( 5),   12.87086
  H2  7- 6 O(13),   12.86072
  H2  9- 8 O(11),   12.83281
  H2  5- 5 S( 3),   12.80432
  H2  8- 7 O(12),   12.69662
  H2  4- 3 O(15),   12.36660
  H2  7- 7 S( 4),   12.29775
  H2  0- 0 S( 2),   12.27861
  H2 10-10 S( 7),   12.07715
  H2  4- 4 S( 3),   12.03121
  H2  2- 1 O(16),   11.96880
  H2 12-11 Q(10),   11.91844
  H2  5- 4 O(14),   11.67092
  H2  8- 8 S( 5),   11.60781
  H2  9- 9 S( 6),   11.49928
  H2 10- 9 O( 9),   11.42151
  H2  6- 6 S( 4),   11.40307
  H2  3- 3 S( 3),   11.34751
  H2 10-10 S( 8),   11.33410
  H2  6- 5 O(13),   11.23326
  H2  3- 2 O(15),   11.15171
  H2  9- 8 O(10),   10.97393
  H2  7- 6 O(12),   10.94780
  H2  1- 0 O(16),   10.93425
  H2  8- 7 O(11),   10.84535
  H2 10-10 S( 9),   10.83232
  H2  2- 2 S( 3),   10.73515
  H2  5- 5 S( 4),   10.65125
  H2  7- 7 S( 5),   10.63459
  H2 10-10 S(12),   10.53740
  H2 10-10 S(10),   10.53524
  H2  4- 3 O(14),   10.52344
  H2  9- 9 S( 7),   10.50547
  H2 10-10 S(11),   10.43191
  H2 12-11 Q( 9),   10.36689
  H2  8- 8 S( 6),   10.33786
  H2  1- 1 S( 3),   10.17771
  H2  2- 1 O(15),   10.17765
  H2  5- 4 O(13),   10.01621
  H2  4- 4 S( 4),   10.00254
  H2 10- 9 O( 8),    9.92065
  H2  6- 6 S( 5),    9.84890
  H2  9- 9 S( 8),    9.77580
  H2  6- 5 O(12),    9.68355
  H2  0- 0 S( 3),    9.66492
  H2  3- 2 O(14),    9.56912
  H2  9- 8 O( 9),    9.54149
  H2  7- 6 O(11),    9.47594
  H2  7- 7 S( 6),    9.45085
  H2  3- 3 S( 4),    9.43065
  H2 11-10 O( 6),    9.42199
  H2  8- 7 O(10),    9.41643
  H2 11-10 Q(12),    9.41610
  H2  8- 8 S( 7),    9.40813
  H2  1- 0 O(15),    9.36073
  H2  9- 9 S( 9),    9.24191
  H2  5- 5 S( 5),    9.19116
  H2  4- 3 O(13),    9.09126
  H2  2- 2 S( 4),    8.91849
  H2  9- 9 S(10),    8.86191
  H2  2- 1 O(14),    8.78641
  H2 10- 9 O( 7),    8.74576
  H2  6- 6 S( 6),    8.73968
  H2  5- 4 O(12),    8.71423
  H2  8- 8 S( 8),    8.71414
  H2  4- 4 S( 5),    8.62557
  H2  9- 9 S(11),    8.61118
  H2  7- 7 S( 7),    8.57863
  H2 12-10 O(12),    8.54125
  H2 13-12 S( 5),    8.54036
  H2 11-10 Q(11),    8.47831
  H2  9- 9 S(12),    8.47808
  H2  9- 9 S(13),    8.46289
  H2  6- 5 O(11),    8.46116
  H2  1- 1 S( 4),    8.45292
  H2 13-11 O( 9),    8.43653
  H2 13-12 S( 1),    8.42202
  H2 11-10 O( 5),    8.41011
  H2  9- 8 O( 8),    8.40908
  H2  3- 2 O(13),    8.32145
  H2  7- 6 O(10),    8.31173
  H2  8- 7 O( 9),    8.28410
  H2 13-12 S( 4),    8.23995
  H2 13-12 S( 2),    8.21533
  H2 10- 9 Q(14),    8.20242
  H2  8- 8 S( 9),    8.19210
  H2 13-12 S( 3),    8.14802
  H2  5- 5 S( 6),    8.14723
  H2  3- 3 S( 5),    8.12854
  H2  1- 0 O(14),    8.12263
  H2  0- 0 S( 4),    8.02505
  H2  4- 3 O(12),    7.95264
  H2  7- 7 S( 8),    7.92101
  H2  6- 6 S( 7),    7.91904
  H2 11-10 Q(10),    7.80672
  H2 10- 9 O( 6),    7.80635
  H2  8- 8 S(10),    7.80166
  H2  2- 2 S( 5),    7.68371
  H2  2- 1 O(13),    7.67748
  H2  5- 4 O(11),    7.66793
  H2  4- 4 S( 6),    7.63987
  H2 11-10 O( 4),    7.59882
  H2 14-12 O( 4),    7.58211
  H2  8- 8 S(11),    7.51711
  H2 11- 9 O(14),    7.50660
  H2  9- 8 O( 7),    7.49616
  H2  6- 5 O(10),    7.47591
  H2 10- 9 Q(13),    7.45155
  H2  7- 7 S( 9),    7.41846
  H2  5- 5 S( 7),    7.37296
  H2  7- 6 O( 9),    7.37106
  H2  8- 7 O( 8),    7.36855
  H2  8- 8 S(12),    7.32289
  H2  3- 2 O(12),    7.31632
  H2 11-10 Q( 9),    7.30380
  H2  6- 6 S( 8),    7.29655
  H2  1- 1 S( 5),    7.28006
  H2  8- 8 S(13),    7.21139
  H2  3- 3 S( 6),    7.19533
  H2 13-11 O( 8),    7.18623
  H2  1- 0 O(13),    7.12548
  H2 12-10 O(11),    7.08920
  H2 10- 9 O( 5),    7.04322
  H2 10- 8 O(16),    7.03407
  H2  7- 7 S(10),    7.03273
  H2  4- 3 O(11),    7.02962
  H2 11-10 O( 3),    6.94033
  H2 14-12 O( 3),    6.92886
  H2  0- 0 S( 5),    6.90952
  H2  4- 4 S( 7),    6.90758
  H2  6- 6 S( 9),    6.81644
  H2  5- 4 O(10),    6.81239
  H2  2- 2 S( 6),    6.79806
  H2  5- 5 S( 8),    6.78360
  H2  2- 1 O(12),    6.77608
  H2  9- 8 O( 6),    6.74901
  H2  7- 7 S(11),    6.73869
  H2  6- 5 O( 9),    6.66810
  H2  8- 7 O( 7),    6.61668
  H2  7- 6 O( 8),    6.59838
  H2  7- 7 S(12),    6.51991
  H2  3- 3 S( 7),    6.50086
  H2  3- 2 O(11),    6.49270
  H2 14-12 O( 2),    6.46328
  H2  6- 6 S(10),    6.44265
  H2  1- 1 S( 6),    6.43835
  H2 12-11 S( 8),    6.42531
  H2 10- 9 O( 4),    6.41592
  H2 11-10 O( 2),    6.40152
  H2 11- 9 O(13),    6.39842
  H2  7- 7 S(13),    6.36635
  H2  4- 4 S( 8),    6.34892
  H2 13-11 O( 7),    6.32694
  H2  5- 5 S( 9),    6.32677
  H2  1- 0 O(12),    6.30828
  H2  9- 8 Q(14),    6.27053
  H2  4- 3 O(10),    6.26916
  H2 12-11 S( 1),    6.21316
  H2  6- 6 S(11),    6.15108
  H2 10- 9 Q(10),    6.13914
  H2  2- 2 S( 7),    6.13835
  H2 12-10 O(10),    6.13372
  H2  9- 8 O( 5),    6.13039
  H2  0- 0 S( 6),    6.10857
  H2  5- 4 O( 9),    6.10291
  H2 10- 8 O(15),    6.06954
  H2 12-11 S( 7),    6.06337
  H2  2- 1 O(11),    6.03194
  H2 12-11 S( 2),    6.00227
  H2  6- 5 O( 8),    5.99676
  H2  8- 7 O( 6),    5.99182
  H2  3- 3 S( 8),    5.96982
  H2  5- 5 S(10),    5.96851
  H2  7- 6 O( 7),    5.95554
  H2  6- 6 S(12),    5.92552
  H2  9- 7 O(17),    5.91713
  H2  4- 4 S( 9),    5.91458
  H2  9- 8 Q(13),    5.90925
  H2 10- 9 O( 3),    5.89588
  H2 10- 9 Q( 9),    5.87009
  H2 12-11 S( 6),    5.86704
  H2 12-11 S( 3),    5.85980
  H2  1- 1 S( 7),    5.81092
  H2  3- 2 O(10),    5.80845
  H2 14-12 S( 1),    5.80036
  H2 12-11 S( 4),    5.78514
  H2 12-11 S( 5),    5.78321
  H2  6- 6 S(13),    5.75527
  H2 13-11 O( 6),    5.69839
  H2  5- 5 S(11),    5.68602
  H2  4- 3 O( 9),    5.63432
  H2  2- 2 S( 8),    5.63331
  H2  1- 0 O(11),    5.62935
  H2  9- 8 Q(12),    5.61536
  H2  9- 8 O( 4),    5.61372
  H2 11- 9 O(12),    5.61351
  H2  4- 4 S(10),    5.57255
  H2  3- 3 S( 9),    5.55564
  H2  8- 7 Q(15),    5.54015
  H2  0- 0 S( 7),    5.51118
  H2  5- 4 O( 8),    5.50790
  H2 10- 9 Q( 7),    5.47218
  H2  8- 7 O( 5),    5.46773
  H2  5- 5 S(12),    5.46376
  H2 10- 9 O( 2),    5.46232
  H2 12-10 O( 9),    5.44900
  H2  6- 5 O( 7),    5.43289
  H2  7- 6 O( 6),    5.41544
  H2  2- 1 O(10),    5.40991
  H2  9- 8 Q(11),    5.37265
  H2 10- 8 O(14),    5.36218
  H2  1- 1 S( 8),    5.33014
  H2 10- 9 Q( 6),    5.32590
  H2  4- 4 S(11),    5.30128
  H2  5- 5 S(13),    5.29119
  H2  8- 7 Q(14),    5.25982
  H2  9- 7 O(16),    5.25785
  H2  2- 2 S( 9),    5.23885
  H2  3- 2 O( 9),    5.23355
  H2  3- 3 S(10),    5.22811
  H2 13-11 O( 5),    5.22019
  H2 10- 9 Q( 5),    5.20735
  H2  9- 8 O( 3),    5.17942
  H2  9- 8 Q(10),    5.17014
  H2 10- 9 Q( 4),    5.11295
  H2  4- 3 O( 8),    5.09871
  H2  4- 4 S(12),    5.08601
  H2  1- 0 O(10),    5.05898
  H2  0- 0 S( 8),    5.05312
  H2 10- 9 Q( 3),    5.04008
  H2  8- 7 Q(13),    5.02747
  H2  8- 7 O( 4),    5.02511
  H2 11- 9 O(11),    5.02342
  H2  5- 4 O( 7),    5.00439
  H2  9- 8 Q( 9),    5.00015
  H2 10- 9 Q( 2),    4.98690
  H2 11-10 S(10),    4.97214
  H2  3- 3 S(11),    4.96690
  H2  7- 6 O( 5),    4.95822
  H2  6- 5 O( 6),    4.95535
  H2  1- 1 S( 9),    4.95419
  H2 10- 9 Q( 1),    4.95211
  H2 12-10 O( 8),    4.93005
  H2 13-11 Q( 6),    4.92782
  H2  2- 2 S(10),    4.92631
  H2  4- 4 S(13),    4.91665
  H2  2- 1 O( 9),    4.88464
  H2 11-10 S( 2),    4.86582
  H2  9- 8 Q( 8),    4.85717
  H2 13-11 O( 4),    4.84772
  H2  8- 7 Q(12),    4.83234
  H2 10- 8 O(13),    4.81772
  H2  9- 8 O( 2),    4.81281
  H2  7- 6 Q(15),    4.77384
  H2  8- 6 O(17),    4.75976
  H2  3- 3 S(12),    4.75806
  H2 11-10 S( 9),    4.75592
  H2  3- 2 O( 8),    4.74609
  H2  9- 7 O(15),    4.73805
  H2  9- 8 Q( 7),    4.73717
  H2 11-10 S( 3),    4.72002
  H2 12-10 Q(10),    4.71702
  H2  0- 0 S( 9),    4.69466
  H2  2- 2 S(11),    4.67629
  H2  8- 7 Q(11),    4.66692
  H2  1- 1 S(10),    4.65585
  H2  8- 7 O( 3),    4.64944
  H2  4- 3 O( 7),    4.64306
  H2  9- 8 Q( 6),    4.63712
  H2 13-11 Q( 5),    4.63178
  H2 11-10 S( 8),    4.62269
  H2 11-10 S( 4),    4.61609
  H2  3- 3 S(13),    4.59207
  H2  7- 6 Q(14),    4.58401
  H2  1- 0 O( 9),    4.57544
  H2  5- 4 O( 6),    4.57532
  H2  7- 6 O( 4),    4.56898
  H2 11- 9 O(10),    4.56094
  H2  9- 8 Q( 5),    4.55476
  H2 13-11 O( 3),    4.55428
  H2 11-10 S( 5),    4.55262
  H2 11-10 S( 7),    4.55133
  H2  6- 5 O( 5),    4.54835
  H2 10- 9 S( 0),    4.54357
  H2 11-10 S( 6),    4.53008
  H2  8- 7 Q(10),    4.52584
  H2 12-10 O( 7),    4.52167
  H2  9- 8 Q( 4),    4.48836
  H2  2- 2 S(12),    4.47524
  H2  2- 1 O( 8),    4.43739
  H2  9- 8 Q( 3),    4.43663
  H2  7- 6 Q(13),    4.42179
  H2 13-11 Q( 4),    4.41840
  H2  1- 1 S(11),    4.41667
  H2  0- 0 S(10),    4.40997
  H2  8- 7 Q( 9),    4.40521
  H2  9- 8 Q( 2),    4.39861
  H2 10- 8 O(12),    4.38347
  H2  9- 8 Q( 1),    4.37362
  H2  8- 6 O(16),    4.33321
  H2  3- 2 O( 7),    4.32972
  H2  8- 7 O( 2),    4.32953
  H2 13-11 O( 2),    4.32307
  H2  9- 7 O(14),    4.31694
  H2  2- 2 S(13),    4.31347
  H2  8- 7 Q( 8),    4.30211
  H2 12-10 Q( 9),    4.28493
  H2  7- 6 Q(12),    4.28202
  H2 13-11 Q( 3),    4.26498
  H2  4- 3 O( 6),    4.25292
  H2  7- 6 O( 3),    4.23626
  H2  6- 5 Q(15),    4.23093
  H2  1- 1 S(12),    4.22373
  H2  8- 7 Q( 7),    4.21440
  H2  5- 4 O( 5),    4.20769
  H2  6- 5 O( 4),    4.19980
  H2 12-10 O( 6),    4.19213
